AcquisitionID,AcquisitionMonth,AcquisitionMonthDate,AcquisitionYear,Company,Value (USD),ParentCompany
ACQ546,September,22,2009,Interactive Supercomputing,,Microsoft
ACQ545,September,22,2009,RedPill Solutions,,IBM
ACQ544,November,9,2009,Gizmo5,30000000,Google
ACQ543,November,9,2009,AdMob,750000000,Google
ACQ542,November,23,2009,Teracent,,Google
ACQ541,November,30,2009,Guardium,,IBM
ACQ540,December,4,2009,AppJet,,Google
ACQ54,September,22,2016,Tuplejump,,Apple
ACQ539,December,6,2009,Lala.com,17000000,Apple
ACQ538,December,10,2009,"Sentillion, Inc.",,Microsoft
ACQ537,December,10,2009,Opalis Software,,Microsoft
ACQ536,December,16,2009,Lombardi,,IBM
ACQ535,December,23,2009,Mixer labs,5170000,Twitter
ACQ534,January,5,2010,Quattro Wireless,275000000,Apple
ACQ533,January,20,2010,"National Interest Security Company, LLC",,IBM
ACQ532,February,3,2010,Initiate Systems,,IBM
ACQ531,February,12,2010,Aardvark,50000000,Google
ACQ530,February,16,2010,Intelliden Inc.,,IBM
ACQ53,September,29,2016,Promontory Financial Group,,IBM
ACQ529,February,17,2010,reMail,,Google
ACQ528,February,19,2010,Octazen,,Facebook
ACQ527,March,1,2010,Picnik,,Google
ACQ526,March,2,2010,Divvyshot,,Facebook
ACQ525,March,5,2010,DocVerse,25000000,Google
ACQ524,March,17,2010,citizensports.com,,Yahoo
ACQ523,April,2,2010,Episodic,,Google
ACQ522,April,9,2010,Atebits,,Twitter
ACQ521,April,12,2010,PlinkArt,,Google
ACQ520,April,20,2010,Agnilux,,Google
ACQ52,October,10,2016,Infiniled,,Facebook
ACQ519,April,23,2010,Cloudhopper,,Twitter
ACQ518,April,27,2010,LabPixies,,Google
ACQ517,April,27,2010,Siri,,Apple
ACQ516,April,27,2010,Intrinsity,121000000,Apple
ACQ515,April,30,2010,BumpTop,30000000,Google
ACQ514,May,3,2010,Cast Iron Systems,190000000,IBM
ACQ513,May,10,2010,Gipsy Moth Studios,12000000,Apple
ACQ512,May,13,2010,Friendster patents,40000000,Facebook
ACQ511,May,18,2010,Global IP Solutions,68200000,Google
ACQ510,May,18,2010,Associated Content,,Yahoo
ACQ51,October,11,2016,FameBit,,Google
ACQ509,May,20,2010,Simplify Media,,Google
ACQ508,May,21,2010,Ruba.com,,Google
ACQ507,May,24,2010,Sterling Commerce,1400000000,IBM
ACQ506,May,25,2010,Koprol,,Yahoo
ACQ505,May,26,2010,ShareGrove,,Facebook
ACQ504,June,3,2010,Invite Media,81000000,Google
ACQ503,June,10,2010,Smallthought Systems,,Twitter
ACQ502,June,15,2010,Coremetrics,,IBM
ACQ501,July,1,2010,"BigFix, Inc.",,IBM
ACQ500,July,8,2010,Nextstop,2500000,Facebook
ACQ50,October,24,2016,Eyefluence,,Google
ACQ5,January,23,2018,Confirm,,Facebook
ACQ499,July,14,2010,Poly9,,Apple
ACQ498,July,16,2010,Metaweb,,Google
ACQ497,July,29,2010,Storwize,140000000,IBM
ACQ496,August,,2010,Zetawire,,Google
ACQ495,August,4,2010,Instantiations,,Google
ACQ494,August,5,2010,Slide.com,228000000,Google
ACQ493,August,10,2010,Jambool,70000000,Google
ACQ492,August,10,2010,Datacap,,IBM
ACQ491,August,13,2010,Unica Corporation,480000000,IBM
ACQ490,August,15,2010,Like.com,100000000,Google
ACQ49,October,27,2016,Sanovi Technologies,,IBM
ACQ489,August,15,2010,Chai Labs,10000000,Facebook
ACQ488,August,20,2010,Hot Potato,,Facebook
ACQ487,August,30,2010,"SocialDeck, Inc.",,Google
ACQ486,August,30,2010,Angstro,,Google
ACQ485,September,13,2010,Quiksee,10000000,Google
ACQ484,September,14,2010,IMSense,,Apple
ACQ483,September,15,2010,OpenPages,,IBM
ACQ482,September,20,2010,Polar Rose,29000000,Apple
ACQ481,September,20,2010,Netezza,1700000000,IBM
ACQ480,September,27,2010,BLADE Network Technologies,,IBM
ACQ48,November,5,2016,LeapDroid,,Google
ACQ479,September,28,2010,Plannr,,Google
ACQ478,October,1,2010,BlindType,,Google
ACQ477,October,4,2010,Dapper,55000000,Yahoo
ACQ476,October,6,2010,"AVIcode, Inc.",,Microsoft
ACQ475,October,13,2010,PSS Systems,,IBM
ACQ474,October,21,2010,Clarity Systems,350000000,IBM
ACQ473,October,29,2010,"Canesta, Inc.",,Microsoft
ACQ472,October,29,2010,Drop.io,,Facebook
ACQ471,November,15,2010,FB.com domain name,8500000,Facebook
ACQ470,December,3,2010,Widevine Technologies,,Google
ACQ47,November,11,2016,CrowdTangle,,Facebook
ACQ469,December,3,2010,Phonetic Arts,,Google
ACQ468,December,21,2010,Fluther,,Twitter
ACQ467,January,13,2011,eBook Technologies,,Google
ACQ466,January,20,2011,Spreets,40000000,Yahoo
ACQ465,January,25,2011,SayNow,,Google
ACQ464,January,25,2011,Rel8tion,,Facebook
ACQ463,March,1,2011,Zynamics,,Google
ACQ462,March,2,2011,Beluga,,Facebook
ACQ461,March,7,2011,Next New Networks,,Google
ACQ460,March,7,2011,BeatThatQuote.com,65000000,Google
ACQ46,November,16,2016,Faciometrics,,Facebook
ACQ459,March,16,2011,Green Parrot Pictures,,Google
ACQ458,March,20,2011,Snaptu,70000000,Facebook
ACQ457,March,22,2011,Tririga Inc.,,IBM
ACQ456,March,24,2011,RecRec,,Facebook
ACQ455,April,8,2011,PushLife,25000000,Google
ACQ454,April,12,2011,ITA Software,676000000,Google
ACQ453,April,25,2011,IntoNow,20000000,Yahoo
ACQ452,April,26,2011,TalkBin,,Google
ACQ451,April,27,2011,DayTum,,Facebook
ACQ450,May,10,2011,Skype Technologies,8500000000,Microsoft
ACQ45,November,21,2016,Qwiklabs,,Google
ACQ449,May,23,2011,Sparkbuy,,Google
ACQ448,May,25,2011,TweetDeck,40000000,Twitter
ACQ447,June,1,2011,AdGrok,,Twitter
ACQ446,June,3,2011,PostRank,,Google
ACQ445,June,7,2011,Prodiance,,Microsoft
ACQ444,June,9,2011,Admeld,400000000,Google
ACQ443,June,9,2011,MailRank,,Facebook
ACQ442,June,9,2011,Sofa,,Facebook
ACQ441,June,18,2011,SageTV,,Google
ACQ440,July,5,2011,BackType,,Twitter
ACQ44,December,1,2016,Indoor.io,,Apple
ACQ439,July,8,2011,Punchd,,Google
ACQ438,July,21,2011,Fridge,,Google
ACQ437,July,23,2011,PittPatt,,Google
ACQ436,August,1,2011,Dealmap,,Google
ACQ435,August,1,2011,C3 Technologies,267000000,Apple
ACQ434,August,2,2011,Push Pop Press,,Facebook
ACQ433,August,8,2011,Bagcheck,,Twitter
ACQ432,August,15,2011,Motorola Mobility,12500000000,Google
ACQ431,August,31,2011,i2 Limited,,IBM
ACQ430,September,1,2011,Algorithmics Inc.[116],387000000,IBM
ACQ43,December,1,2016,"Yes, Inc",,Twitter
ACQ429,September,7,2011,Zave Networks,,Google
ACQ428,September,8,2011,Zagat,151000000,Google
ACQ427,September,19,2011,DailyDeal,114000000,Google
ACQ426,September,21,2011,Julpan,,Twitter
ACQ425,October,4,2011,Q1 Labs[118],,IBM
ACQ424,October,10,2011,Friend.ly,,Facebook
ACQ423,October,11,2011,SocialGrapple,,Google
ACQ422,October,12,2011,Platform Computing,,IBM
ACQ421,November,1,2011,Interclick,270000000,Yahoo
ACQ420,November,8,2011,Strobe,,Facebook
ACQ42,December,8,2016,LinkedIn,26200000000,Microsoft
ACQ419,November,10,2011,Apture,,Google
ACQ418,November,14,2011,Katango,,Google
ACQ417,November,22,2011,Videosurf,100000000,Microsoft
ACQ416,November,28,2011,Whisper Systems,,Twitter
ACQ415,December,2,2011,Gowalla,,Facebook
